Vector Size, Broadcast Time (seconds)
10, 4.475e-06
20, 7.61e-07
30, 4.34e-07
40, 4.24e-07
50, 4.27e-07
60, 3.41e-07
70, 4.062e-06
80, 1.1301e-05
90, 1.655e-06
100, 1.107e-06
110, 9.32e-07
120, 9.74e-07
130, 9.69e-07
140, 1.019e-06
150, 9.4e-07
160, 6.785e-06
170, 1.203e-06
180, 9.96e-07
190, 9.7e-07
200, 1.117e-06
210, 1.118e-06
220, 1.001e-06
230, 9.59e-07
240, 1.062e-06
250, 9.43e-07
260, 1.007e-06
270, 1.113e-06
280, 1.057e-06
290, 9.2e-07
300, 9.76e-07
310, 9.01e-07
320, 9.2e-07
330, 1.011e-06
340, 1.011e-06
350, 9.87e-07
360, 1.006e-06
370, 9.51e-07
380, 9.79e-07
390, 1.087e-06
400, 1.01e-06
410, 9.11e-07
420, 1.053e-06
430, 9.8e-07
440, 1.031e-06
450, 1.044e-06
460, 9.66e-07
470, 1.092e-06
480, 1.011e-06
490, 9.96e-07
500, 9.52e-07
510, 9.29e-07
520, 1.013e-06
530, 1.126e-06
540, 1.096e-06
550, 9.13e-07
560, 1.22e-06
570, 8.452e-06
580, 1.067e-06
590, 1.138e-06
600, 1.15e-06
610, 1.152e-06
620, 1.095e-06
630, 9.21e-07
640, 1.016e-06
650, 1.095e-06
660, 9.76e-07
670, 9.77e-07
680, 1.003e-06
690, 1.09e-06
700, 1.041e-06
710, 1.092e-06
720, 1.086e-06
730, 9.99e-07
740, 1.089e-06
750, 1.096e-06
760, 1.026e-06
770, 1.032e-06
780, 9.75e-07
790, 1.001e-06
800, 9.92e-07
810, 9.6e-07
820, 1.069e-06
830, 1.031e-06
840, 1.037e-06
850, 9.8e-07
860, 9.99e-07
870, 9.79e-07
880, 1.041e-06
890, 1.044e-06
900, 1.058e-06
910, 1.066e-06
920, 1.033e-06
930, 1.17e-06
940, 1.028e-06
950, 9.95e-07
960, 1.034e-06
970, 1.151e-06
980, 1.081e-06
990, 1.096e-06
1000, 1.024e-06
1010, 1.721e-06
1020, 1.8029e-05
1030, 4.02e-06
1040, 3.522e-06
1050, 3.61e-06
1060, 3.211e-06
1070, 3.276e-06
1080, 3.237e-06
1090, 3.304e-06
1100, 3.377e-06
1110, 3.151e-06
1120, 3.168e-06
1130, 3.407e-06
1140, 3.48e-06
1150, 3.685e-06
1160, 3.287e-06
1170, 3.418e-06
1180, 3.278e-06
1190, 3.625e-06
1200, 3.245e-06
1210, 3.455e-06
1220, 3.591e-06
1230, 3.503e-06
1240, 3.244e-06
1250, 3.751e-06
1260, 3.63e-06
1270, 3.472e-06
1280, 3.43e-06
1290, 2.984e-06
1300, 3.667e-06
1310, 3.447e-06
1320, 3.473e-06
1330, 3.333e-06
1340, 3.637e-06
1350, 3.487e-06
1360, 3.582e-06
1370, 4.817e-06
1380, 4.019e-06
1390, 4.04e-06
1400, 3.951e-06
1410, 3.881e-06
1420, 3.84e-06
1430, 3.93e-06
1440, 4.003e-06
1450, 3.669e-06
1460, 3.876e-06
1470, 3.836e-06
1480, 3.868e-06
1490, 3.659e-06
1500, 4.212e-06
1510, 3.888e-06
1520, 3.94e-06
1530, 3.999e-06
1540, 3.936e-06
1550, 3.703e-06
1560, 3.982e-06
1570, 3.749e-06
1580, 4.57e-06
1590, 4.279e-06
1600, 4.685e-06
1610, 4.47e-06
1620, 4.807e-06
1630, 4.562e-06
1640, 4.688e-06
1650, 4.51e-06
1660, 5.101e-06
1670, 4.444e-06
1680, 4.687e-06
1690, 4.623e-06
1700, 4.7e-06
1710, 4.519e-06
1720, 4.801e-06
1730, 4.462e-06
1740, 4.888e-06
1750, 4.939e-06
1760, 4.966e-06
1770, 4.574e-06
1780, 5.052e-06
1790, 4.785e-06
1800, 2.1214e-05
1810, 4.924e-06
1820, 5.19e-06
1830, 4.656e-06
1840, 4.908e-06
1850, 4.802e-06
1860, 5.007e-06
1870, 4.648e-06
1880, 4.935e-06
1890, 4.721e-06
1900, 5.048e-06
1910, 4.78e-06
1920, 0.000550024
1930, 6.137e-06
1940, 5.609e-06
1950, 5.298e-06
1960, 5.532e-06
1970, 4.989e-06
1980, 5.719e-06
1990, 5.43e-06
2000, 5.148e-06
2010, 5.189e-06
2020, 8.7141e-05
2030, 4.157e-06
2040, 4.114e-06
2050, 4.314e-06
2060, 4.388e-06
2070, 3.996e-06
2080, 4.314e-06
2090, 4.317e-06
2100, 4.239e-06
2110, 4.712e-06
2120, 4.71e-06
2130, 4.553e-06
2140, 4.637e-06
2150, 4.323e-06
2160, 4.673e-06
2170, 4.393e-06
2180, 4.7188e-05
2190, 4.927e-06
2200, 4.618e-06
2210, 4.176e-06
2220, 4.382e-06
2230, 4.058e-06
2240, 4.289e-06
2250, 4.087e-06
2260, 3.731e-06
2270, 3.498e-06
2280, 3.661e-06
2290, 3.538e-06
2300, 3.867e-06
2310, 3.538e-06
2320, 3.722e-06
2330, 3.837e-06
2340, 3.858e-06
2350, 3.684e-06
2360, 3.711e-06
2370, 3.754e-06
2380, 3.712e-06
2390, 3.582e-06
2400, 3.628e-06
2410, 3.632e-06
2420, 3.824e-06
2430, 3.522e-06
2440, 3.965e-06
2450, 3.748e-06
2460, 4.115e-06
2470, 3.822e-06
2480, 7.883e-06
2490, 3.41e-06
2500, 3.48e-06
2510, 3.165e-06
2520, 3.422e-06
2530, 3.192e-06
2540, 3.336e-06
2550, 3.239e-06
2560, 3.296e-06
2570, 3.238e-06
2580, 3.877e-06
2590, 3.47e-06
2600, 3.712e-06
2610, 3.46e-06
2620, 3.687e-06
2630, 3.662e-06
2640, 5.558e-06
2650, 3.854e-06
2660, 3.795e-06
2670, 3.596e-06
2680, 3.844e-06
2690, 3.508e-06
2700, 3.87e-06
2710, 3.672e-06
2720, 3.77e-06
2730, 3.547e-06
2740, 3.676e-06
2750, 3.451e-06
2760, 3.965e-06
2770, 3.504e-06
2780, 3.818e-06
2790, 3.567e-06
2800, 3.722e-06
2810, 3.642e-06
2820, 3.704e-06
2830, 3.528e-06
2840, 3.889e-06
2850, 3.676e-06
2860, 3.855e-06
2870, 3.719e-06
2880, 4.79e-06
2890, 4.001e-06
2900, 4.237e-06
2910, 3.784e-06
2920, 3.995e-06
2930, 3.746e-06
2940, 3.906e-06
2950, 3.709e-06
2960, 3.913e-06
2970, 3.723e-06
2980, 4.197e-06
2990, 4.114e-06
3000, 4.144e-06
3010, 3.916e-06
3020, 4.15e-06
3030, 3.872e-06
3040, 4.126e-06
3050, 3.79e-06
3060, 4.06e-06
3070, 3.941e-06
3080, 4.172e-06
3090, 3.795e-06
3100, 3.996e-06
3110, 4.016e-06
3120, 4.175e-06
3130, 4.321e-06
3140, 4.269e-06
3150, 4.941e-06
3160, 8.83e-06
3170, 4.37e-06
3180, 4.49e-06
3190, 4.24e-06
3200, 4.526e-06
3210, 4.338e-06
3220, 4.492e-06
3230, 4.434e-06
3240, 4.87e-06
3250, 4.806e-06
3260, 9.765e-06
3270, 3.057e-06
3280, 3.157e-06
3290, 2.942e-06
3300, 3.186e-06
3310, 2.949e-06
3320, 3.165e-06
3330, 2.949e-06
3340, 3.226e-06
3350, 3.577e-06
3360, 3.415e-06
3370, 3.285e-06
3380, 4.554e-06
3390, 3.184e-06
3400, 3.327e-06
3410, 3.047e-06
3420, 3.053e-06
3430, 2.865e-06
3440, 3.083e-06
3450, 2.859e-06
3460, 3.028e-06
3470, 2.837e-06
3480, 3.079e-06
3490, 2.887e-06
3500, 3.135e-06
3510, 3.068e-06
3520, 3.118e-06
3530, 2.887e-06
3540, 3.039e-06
3550, 2.985e-06
3560, 3.029e-06
3570, 2.875e-06
3580, 3.128e-06
3590, 3.164e-06
3600, 4.283e-06
3610, 3.577e-06
3620, 3.568e-06
3630, 3.702e-06
3640, 4.929e-06
3650, 3.234e-06
3660, 3.163e-06
3670, 3.157e-06
3680, 3.165e-06
3690, 3.245e-06
3700, 3.274e-06
3710, 3.329e-06
3720, 3.195e-06
3730, 3.22e-06
3740, 3.164e-06
3750, 3.176e-06
3760, 3.241e-06
3770, 3.395e-06
3780, 3.228e-06
3790, 3.368e-06
3800, 3.412e-06
3810, 3.317e-06
3820, 3.254e-06
3830, 3.255e-06
3840, 3.264e-06
3850, 3.326e-06
3860, 3.233e-06
3870, 3.268e-06
3880, 3.342e-06
3890, 3.445e-06
3900, 3.312e-06
3910, 3.586e-06
3920, 4.466e-06
3930, 3.561e-06
3940, 3.428e-06
3950, 3.413e-06
3960, 3.439e-06
3970, 3.6e-06
3980, 3.595e-06
3990, 3.556e-06
4000, 3.545e-06
4010, 3.437e-06
4020, 3.437e-06
4030, 0.00027528
4040, 2.894e-06
4050, 2.612e-06
4060, 2.482e-06
4070, 2.525e-06
4080, 2.491e-06
4090, 2.466e-06
4100, 2.515e-06
4110, 2.491e-06
4120, 2.515e-06
4130, 2.472e-06
4140, 2.472e-06
4150, 2.47e-06
4160, 2.443e-06
4170, 2.393e-06
4180, 2.455e-06
4190, 2.478e-06
4200, 2.586e-06
4210, 2.436e-06
4220, 2.416e-06
4230, 2.515e-06
4240, 2.5e-06
4250, 2.455e-06
4260, 2.474e-06
4270, 2.456e-06
4280, 2.507e-06
4290, 2.456e-06
4300, 2.502e-06
4310, 2.457e-06
4320, 3.564e-06
4330, 2.577e-06
