Vector Size, Broadcast Time (seconds)
10, 1.1858e-05
20, 3.798e-06
30, 8.66e-07
40, 1.385e-06
50, 1.072e-06
60, 8.25e-07
70, 1.7058e-05
80, 3.5374e-05
90, 1.008e-05
100, 4.379e-06
110, 5.096e-06
120, 4.306e-06
130, 4.132e-06
140, 5.027e-06
150, 3.581e-06
160, 5.387e-06
170, 2.73e-06
180, 2.673e-06
190, 2.913e-06
200, 3.096e-06
210, 2.862e-06
220, 3.608e-06
230, 2.933e-06
240, 3.239e-06
250, 1.615e-06
260, 1.903e-06
270, 1.576e-06
280, 1.513e-06
290, 1.629e-06
300, 1.971e-06
310, 1.591e-06
320, 1.676e-06
330, 1.522e-06
340, 1.921e-06
350, 1.644e-06
360, 1.613e-06
370, 1.664e-06
380, 2.029e-06
390, 2.125e-06
400, 1.646e-06
410, 1.673e-06
420, 1.657e-06
430, 1.711e-06
440, 1.788e-06
450, 1.824e-06
460, 2.038e-06
470, 1.646e-06
480, 1.73e-06
490, 2.027e-06
500, 1.715e-06
510, 1.771e-06
520, 1.659e-06
530, 1.933e-06
540, 1.792e-06
550, 2.005e-06
560, 2.527e-06
570, 9.056e-06
580, 2.49e-06
590, 2.422e-06
600, 1.994e-06
610, 2.441e-06
620, 2.227e-06
630, 2.432e-06
640, 2.168e-06
650, 2.068e-06
660, 2.514e-06
670, 2.454e-06
680, 2.586e-06
690, 2.371e-06
700, 2.46e-06
710, 2.232e-06
720, 2.496e-06
730, 2.297e-06
740, 2.224e-06
750, 2.483e-06
760, 2.41e-06
770, 2.481e-06
780, 2.465e-06
790, 2.684e-06
800, 2.751e-06
810, 2.405e-06
820, 2.583e-06
830, 2.741e-06
840, 2.681e-06
850, 2.424e-06
860, 2.762e-06
870, 2.568e-06
880, 2.822e-06
890, 2.801e-06
900, 2.621e-06
910, 4.2901e-05
920, 2.648e-06
930, 2.622e-06
940, 2.953e-06
950, 2.841e-06
960, 2.863e-06
970, 2.4091e-05
980, 2.879e-06
990, 7.912e-06
1000, 2.889e-06
1010, 2.807e-06
1020, 1.9501e-05
1030, 5.018e-06
1040, 4.366e-06
1050, 4.262e-06
1060, 4.116e-06
1070, 4.34e-06
1080, 4.232e-06
1090, 4.107e-06
1100, 4.541e-06
1110, 4.03e-06
1120, 4.152e-06
1130, 4.11e-06
1140, 4.398e-06
1150, 4.095e-06
1160, 4.045e-06
1170, 6.768e-06
1180, 4.171e-06
1190, 4.106e-06
1200, 4.421e-06
1210, 4.492e-06
1220, 4.267e-06
1230, 4.02e-06
1240, 4.356e-06
1250, 4.222e-06
1260, 4.318e-06
1270, 3.963e-06
1280, 4.851e-06
1290, 4.496e-06
1300, 4.27e-06
1310, 4.173e-06
1320, 4.173e-06
1330, 4.223e-06
1340, 4.099e-06
1350, 4.268e-06
1360, 4.691e-06
1370, 4.221e-06
1380, 4.189e-06
1390, 4.236e-06
1400, 4.315e-06
1410, 4.368e-06
1420, 4.073e-06
1430, 4.237e-06
1440, 4.197e-06
1450, 4.454e-06
1460, 4.38e-06
1470, 4.146e-06
1480, 4.065e-06
1490, 4.133e-06
1500, 4.488e-06
1510, 4.904e-06
1520, 5.341e-06
1530, 4.358e-06
1540, 4.299e-06
1550, 4.681e-06
1560, 4.236e-06
1570, 4.362e-06
1580, 4.424e-06
1590, 4.35e-06
1600, 4.456e-06
1610, 4.526e-06
1620, 4.35e-06
1630, 4.459e-06
1640, 4.508e-06
1650, 4.422e-06
1660, 4.466e-06
1670, 4.477e-06
1680, 4.372e-06
1690, 4.417e-06
1700, 4.925e-06
1710, 4.573e-06
1720, 4.268e-06
1730, 4.754e-06
1740, 4.91e-06
1750, 7.571e-06
1760, 4.575e-06
1770, 4.523e-06
1780, 4.498e-06
1790, 4.643e-06
1800, 4.519e-06
1810, 4.585e-06
1820, 4.75e-06
1830, 5.164e-06
1840, 4.682e-06
1850, 5.427e-06
1860, 4.881e-06
1870, 4.644e-06
1880, 4.354e-06
1890, 4.664e-06
1900, 4.728e-06
1910, 4.695e-06
1920, 4.797e-06
1930, 4.697e-06
1940, 4.759e-06
1950, 4.62e-06
1960, 5.752e-06
1970, 5.068e-06
1980, 4.889e-06
1990, 4.923e-06
2000, 7.435e-06
2010, 4.749e-06
2020, 4.655e-06
2030, 6.941e-06
2040, 4.737e-06
2050, 5.166e-06
2060, 5.664e-06
2070, 5.306e-06
2080, 5.092e-06
2090, 5.166e-06
2100, 5.041e-06
2110, 5.297e-06
2120, 5.18e-06
2130, 4.992e-06
2140, 5.443e-06
2150, 5.304e-06
2160, 5.321e-06
2170, 5.687e-06
2180, 5.612e-06
2190, 5.49e-06
2200, 5.387e-06
2210, 5.149e-06
2220, 5.142e-06
2230, 5.374e-06
2240, 5.086e-06
2250, 5.527e-06
2260, 5.424e-06
2270, 5.252e-06
2280, 0.000181972
2290, 6.582e-06
2300, 6.006e-06
2310, 5.536e-06
2320, 5.457e-06
2330, 5.755e-06
2340, 5.375e-06
2350, 5.636e-06
2360, 5.949e-06
2370, 8.152e-06
2380, 5.737e-06
2390, 5.66e-06
2400, 5.485e-06
2410, 5.576e-06
2420, 5.639e-06
2430, 5.649e-06
2440, 5.709e-06
2450, 6.352e-06
2460, 6.22e-06
2470, 5.537e-06
2480, 5.737e-06
2490, 3.8259e-05
2500, 1.0325e-05
2510, 6.236e-06
2520, 6.369e-06
2530, 5.669e-06
2540, 6.848e-06
2550, 5.876e-06
2560, 6.097e-06
2570, 6.177e-06
2580, 6.056e-06
2590, 6.326e-06
2600, 5.897e-06
2610, 5.916e-06
2620, 6.069e-06
2630, 6.375e-06
2640, 6.208e-06
2650, 6.141e-06
2660, 6.106e-06
2670, 6.084e-06
2680, 6.12e-06
2690, 6.181e-06
2700, 6.031e-06
2710, 6.14e-06
2720, 6.076e-06
2730, 6.086e-06
2740, 6.76e-06
2750, 1.2753e-05
2760, 3.2088e-05
2770, 6.479e-06
2780, 5.995e-06
2790, 6.228e-06
2800, 7.245e-06
2810, 6.168e-06
2820, 6.447e-06
2830, 7.113e-06
2840, 1.2454e-05
2850, 6.243e-06
2860, 6.231e-06
2870, 6.577e-06
2880, 6.561e-06
2890, 6.49e-06
2900, 6.272e-06
2910, 6.311e-06
2920, 6.16e-06
2930, 6.327e-06
2940, 6.233e-06
2950, 6.218e-06
2960, 6.146e-06
2970, 6.292e-06
2980, 6.148e-06
2990, 6.497e-06
3000, 6.621e-06
3010, 6.443e-06
3020, 6.474e-06
3030, 6.312e-06
3040, 9.841e-06
3050, 6.765e-06
3060, 6.394e-06
3070, 6.42e-06
3080, 6.162e-06
3090, 6.306e-06
3100, 6.426e-06
3110, 6.397e-06
3120, 6.472e-06
3130, 6.444e-06
3140, 6.281e-06
3150, 6.778e-06
3160, 6.877e-06
3170, 5.99e-06
3180, 6.289e-06
3190, 6.743e-06
3200, 6.47e-06
3210, 6.167e-06
3220, 6.151e-06
3230, 6.138e-06
3240, 6.116e-06
3250, 6.387e-06
3260, 6.182e-06
3270, 9.575e-06
3280, 4.5179e-05
3290, 8.928e-06
3300, 7.005e-06
3310, 7.672e-06
3320, 6.794e-06
3330, 6.786e-06
3340, 6.718e-06
3350, 6.838e-06
3360, 1.1086e-05
3370, 7.827e-06
3380, 7.099e-06
3390, 6.918e-06
3400, 7.199e-06
3410, 6.965e-06
3420, 6.025e-06
3430, 6.429e-06
3440, 6.347e-06
3450, 6.527e-06
3460, 7.141e-06
3470, 6.87e-06
3480, 6.903e-06
3490, 6.885e-06
3500, 7.171e-06
3510, 6.77e-06
3520, 2.3823e-05
3530, 8.405e-06
3540, 7.408e-06
3550, 7.563e-06
3560, 7.335e-06
3570, 7.447e-06
3580, 7.56e-06
3590, 7.768e-06
3600, 8.822e-06
3610, 7.991e-06
3620, 7.806e-06
3630, 7.242e-06
3640, 7.571e-06
3650, 7.512e-06
3660, 6.836e-06
3670, 7.832e-06
3680, 7.396e-06
3690, 7.585e-06
3700, 7.587e-06
3710, 7.558e-06
3720, 7.883e-06
3730, 7.622e-06
3740, 1.2875e-05
3750, 7.548e-06
3760, 7.495e-06
3770, 7.624e-06
3780, 7.869e-06
3790, 7.471e-06
3800, 7.88e-06
3810, 7.571e-06
3820, 7.795e-06
3830, 7.898e-06
3840, 7.538e-06
3850, 7.409e-06
3860, 7.521e-06
3870, 7.523e-06
3880, 7.669e-06
3890, 7.623e-06
3900, 7.677e-06
3910, 7.675e-06
3920, 7.712e-06
3930, 7.716e-06
3940, 7.678e-06
3950, 7.598e-06
3960, 7.184e-06
3970, 7.467e-06
3980, 7.475e-06
3990, 7.409e-06
4000, 7.524e-06
4010, 7.693e-06
4020, 7.673e-06
4030, 7.647e-06
4040, 7.77e-06
4050, 7.785e-06
4060, 7.705e-06
4070, 7.864e-06
4080, 6.5293e-05
4090, 1.1828e-05
4100, 8.58e-06
4110, 1.6587e-05
4120, 2.5548e-05
4130, 7.687e-06
4140, 7.597e-06
4150, 7.18e-06
4160, 7.25e-06
4170, 8.277e-06
4180, 7.68e-06
4190, 7.104e-06
4200, 7.39e-06
4210, 7.765e-06
4220, 7.245e-06
4230, 6.958e-06
4240, 7.471e-06
4250, 7.142e-06
4260, 7.366e-06
4270, 7.912e-06
4280, 7.804e-06
4290, 7.451e-06
4300, 7.114e-06
4310, 7.099e-06
4320, 7.789e-06
4330, 7.58e-06
4340, 7.757e-06
4350, 7.552e-06
4360, 9.601e-06
4370, 7.744e-06
4380, 8.12e-06
4390, 8.298e-06
4400, 8.192e-06
4410, 7.93e-06
4420, 7.415e-06
4430, 8.084e-06
4440, 7.115e-06
4450, 1.1075e-05
4460, 7.518e-06
4470, 7.289e-06
4480, 7.561e-06
4490, 7.251e-06
4500, 7.749e-06
4510, 7.881e-06
4520, 7.105e-06
4530, 8.002e-06
4540, 7.528e-06
4550, 7.24e-06
4560, 7.573e-06
4570, 7.551e-06
4580, 7.707e-06
4590, 8.069e-06
4600, 9.5e-06
4610, 4.2986e-05
4620, 8.94e-06
4630, 8.584e-06
4640, 8.188e-06
4650, 8.505e-06
4660, 8.784e-06
4670, 8.972e-06
4680, 8.617e-06
4690, 8.449e-06
4700, 8.628e-06
4710, 7.941e-06
4720, 8.903e-06
4730, 8.356e-06
4740, 0.000131815
4750, 1.147e-05
4760, 8.238e-06
4770, 7.539e-06
4780, 7.609e-06
4790, 1.0217e-05
4800, 6.839e-06
4810, 7.862e-06
4820, 6.908e-06
4830, 6.845e-06
4840, 6.585e-06
4850, 7.19e-06
4860, 6.661e-06
4870, 6.629e-06
4880, 6.652e-06
4890, 6.897e-06
4900, 7.034e-06
4910, 7.462e-06
4920, 7.326e-06
4930, 7.761e-06
4940, 7.079e-06
4950, 7.749e-06
4960, 6.895e-06
4970, 6.827e-06
4980, 7.791e-06
4990, 7.488e-06
5000, 7.512e-06
5010, 7.45e-06
5020, 5.5079e-05
5030, 7.167e-06
5040, 7.379e-06
5050, 6.978e-06
5060, 7.341e-06
5070, 6.931e-06
5080, 2.106e-05
5090, 6.614e-06
5100, 6.784e-06
5110, 9.853e-06
5120, 7.375e-06
5130, 9.143e-06
5140, 7.775e-06
5150, 7.683e-06
5160, 7.427e-06
5170, 7.334e-06
5180, 8.405e-06
5190, 7.47e-06
5200, 2.0436e-05
5210, 6.841e-06
5220, 6.675e-06
5230, 7.843e-06
5240, 7.553e-06
5250, 7.373e-06
5260, 7.156e-06
5270, 7.713e-06
5280, 8.03e-06
5290, 8.01e-06
5300, 7.728e-06
5310, 1.3245e-05
5320, 7.455e-06
5330, 7.405e-06
5340, 7.464e-06
5350, 7.396e-06
5360, 7.492e-06
5370, 7.574e-06
5380, 7.809e-06
5390, 7.652e-06
5400, 7.552e-06
5410, 7.921e-06
5420, 7.493e-06
5430, 8.507e-06
5440, 7.76e-06
5450, 1.539e-05
5460, 9.147e-06
5470, 8.916e-06
5480, 8.852e-06
5490, 9.071e-06
5500, 8.62e-06
5510, 8.562e-06
5520, 8.646e-06
5530, 8.291e-06
5540, 8.827e-06
5550, 8.357e-06
5560, 9.654e-06
5570, 8.57e-06
5580, 8.272e-06
5590, 7.833e-06
5600, 8.26e-06
5610, 8.93e-06
5620, 1.3441e-05
5630, 1.4018e-05
5640, 1.2776e-05
5650, 1.005e-05
5660, 1.2536e-05
5670, 9.287e-06
5680, 8.785e-06
5690, 8.663e-06
5700, 9.184e-06
5710, 1.109e-05
5720, 8.997e-06
5730, 1.7387e-05
5740, 9.262e-06
5750, 9.244e-06
5760, 8.976e-06
5770, 8.713e-06
5780, 8.863e-06
5790, 9.412e-06
5800, 9.215e-06
5810, 9.052e-06
5820, 8.772e-06
5830, 9.418e-06
5840, 9.133e-06
5850, 9.328e-06
5860, 8.743e-06
5870, 8.484e-06
5880, 8.892e-06
5890, 9.428e-06
5900, 8.833e-06
5910, 8.823e-06
5920, 8.726e-06
5930, 9.205e-06
5940, 8.694e-06
5950, 9.279e-06
5960, 2.2529e-05
5970, 9.825e-06
5980, 9.231e-06
5990, 9.081e-06
6000, 8.869e-06
6010, 9.102e-06
6020, 8.816e-06
6030, 9.224e-06
6040, 8.643e-06
6050, 8.845e-06
6060, 8.704e-06
6070, 9.004e-06
6080, 8.953e-06
